sigla,ano,desca
BJF,1996,2.0888888888888895
BJF,1997,1.2465277777777777
BJF,1998,2.353174603174603
BJF,1999,1.2976190476190474
BJF,2000,1.3035714285714284
BJF,2001,1.3035714285714284
BJF,2002,1.4457142857142862
BJF,2003,1.049285714285712
BJF,2004,0.742142857142856
BJF,2005,0.7542857142857138
BJF,2006,0.554285714285713
BJF,2007,0.48846153846153656
BJF,2008,0.43083333333333157
BJF,2009,0.2541666666666657
BJF,2010,0.46000000000000013
BJF,2011,0.6444444444444407
BJF,2012,0.393846153846156
BJF,2013,0.43500000000000016
BJF,2014,-0.12181818181818045
BJF,2015,0.3657407407407397
BJF,2016,0.1898148148148143
BJF,2017,0.1222222222222216
BJF,2018,0.18974358974359026
BJF,2019,-0.07777777777777335
BJF,2020,0.22991452991452851
BJF,2022,0.26944444444444887
BJF,2023,0.13796296296296143
BJF,2024,0.025000000000001736
BJF,2025,0.46759259259259206
BJF,2026,0.23425925925925778
CAP,1996,-0.5611111111111107
CAP,1998,-0.42460317460317515
CAP,1999,-0.42460317460317476
CAP,2000,-0.9964285714285716
CAP,2001,-0.7464285714285716
CAP,2002,-1.654285714285713
CAP,2003,-0.32071428571428695
CAP,2004,-1.2378571428571437
CAP,2005,-0.5557142857142857
CAP,2006,-0.8057142857142878
EST,1996,0.038888888888889285
EST,1997,-1.3090277777777777
EST,2007,-0.7915384615384632
EST,2016,-0.48796296296296204
EST,2020,-0.5811965811965799
GRA,1996,-0.21111111111111072
GRA,1997,-0.4756944444444444
GRA,1998,0.2420634920634915
GRA,1999,0.853174603174603
GRA,2000,-0.19642857142857154
GRA,2001,0.45357142857142846
GRA,2002,0.6057142857142843
GRA,2003,0.7492857142857119
GRA,2004,-0.07785714285714285
GRA,2005,0.6742857142857147
GRA,2006,0.6242857142857112
GRA,2007,0.3484615384615374
GRA,2008,0.2008333333333326
GRA,2009,0.14416666666666628
GRA,2010,0.4599999999999994
GRA,2012,0.18384615384615516
GRA,2013,0.005000000000002558
GRA,2014,0.008181818181821399
GRA,2015,0.22129629629629635
GRA,2016,0.04537037037036937
GRA,2017,0.13333333333333364
GRA,2018,-0.19914529914529785
GRA,2019,-0.04444444444444192
GRA,2020,0.2965811965811969
GRA,2022,0.34722222222222776
GRA,2023,0.026851851851850326
GRA,2024,0.12499999999999921
GRA,2025,0.47870370370370335
GRA,2026,-0.04351851851851999
IMP,1996,2.3888888888888893
IMP,1997,1.3020833333333333
IMP,1998,2.4642857142857135
IMP,1999,0.2420634920634919
IMP,2000,1.3535714285714284
IMP,2001,1.3535714285714284
IMP,2002,1.1157142857142859
IMP,2003,0.6692857142857122
IMP,2004,0.5221428571428565
IMP,2005,0.6642857142857146
IMP,2006,0.03428571428571274
IMP,2007,-0.24153846153846176
IMP,2008,0.15083333333333115
IMP,2009,0.09416666666666558
IMP,2010,-0.06999999999999815
IMP,2011,-0.12555555555556025
IMP,2012,-0.186153846153843
IMP,2013,0.2550000000000011
IMP,2014,0.048181818181819124
IMP,2015,0.23240740740740762
IMP,2016,0.1120370370370362
IMP,2017,0.03333333333333539
IMP,2018,0.023076923076922797
IMP,2019,-0.2777777777777746
IMP,2022,-0.19722222222221653
IMP,2023,0.22685185185184922
IMP,2024,0.19166666666666604
IMP,2025,0.4564814814814808
IMP,2026,0.12314814814814588
ISR,1996,1.3388888888888892
ISR,1997,-1.03125
ISR,1999,-0.9801587301587303
ISR,2001,-0.6464285714285716
ISR,2002,-0.02428571428571331
ISR,2003,-0.8507142857142866
ISR,2004,-0.03785714285714228
ISR,2005,-0.755714285714285
ISR,2006,0.03428571428571203
ISR,2007,-0.4815384615384609
ISR,2009,-0.47583333333333255
ISR,2018,-0.3991452991452975
ISR,2019,-0.677777777777774
ISR,2023,-0.46203703703703763
ITI,1996,-4.761111111111111
MAN,1996,2.038888888888889
